source_id,type_of_water_source,number_of_people_served,priority_status
AmAs10535224,tap_in_home,578,STANDARD
AmAs10536224,tap_in_home,818,STANDARD
AmAs10537224,tap_in_home,874,STANDARD
AmAs10538224,tap_in_home_broken,504,CRITICAL
AmAs10539224,tap_in_home,564,STANDARD
AmAs10540224,tap_in_home,928,STANDARD
AmAs10541224,tap_in_home_broken,472,CRITICAL
AmAs10542224,tap_in_home_broken,560,CRITICAL
AmAs10543224,tap_in_home,998,STANDARD
AmAs10544224,river,648,CRITICAL
AmAs10545224,tap_in_home_broken,638,CRITICAL
AmAs10546224,shared_tap,3950,STANDARD
AmAs10547224,tap_in_home_broken,738,CRITICAL
AmAs10548224,tap_in_home,414,STANDARD
AmAs10549224,tap_in_home,814,STANDARD
AmAs10550224,well,188,HIGH (Requires Pollution Check)
AmAs10551224,shared_tap,1448,STANDARD
AmAs10552224,tap_in_home_broken,576,CRITICAL
AmAs10553224,tap_in_home_broken,856,CRITICAL
AmAs10554224,tap_in_home,530,STANDARD
AmAs10555224,river,896,CRITICAL
AmAs10556224,tap_in_home,844,STANDARD
AmAs10557224,shared_tap,2468,STANDARD
AmAs10558224,shared_tap,1124,STANDARD
AmAs10559224,tap_in_home,478,STANDARD
AmAs10560224,tap_in_home,748,STANDARD
AmAs10561224,tap_in_home,364,STANDARD
AmAs10562224,tap_in_home,346,STANDARD
AmAs10563224,well,170,HIGH (Requires Pollution Check)
AmAs10564224,tap_in_home,318,STANDARD
AmAs10565224,tap_in_home,946,STANDARD
AmAs10566224,tap_in_home,398,STANDARD
AmAs10567224,tap_in_home_broken,948,CRITICAL
AmAs10568224,well,220,HIGH (Requires Pollution Check)
AmAs10569224,tap_in_home,504,STANDARD
AmAs10570224,river,476,CRITICAL
AmAs10571224,well,208,HIGH (Requires Pollution Check)
AmAs10572224,tap_in_home,372,STANDARD
AmAs10573224,tap_in_home_broken,620,CRITICAL
AmAs10574224,tap_in_home_broken,740,CRITICAL
AmAs10575224,tap_in_home_broken,782,CRITICAL
AmAs10576224,tap_in_home,846,STANDARD
AmAs10577224,tap_in_home_broken,756,CRITICAL
AmAs10578224,tap_in_home,420,STANDARD
AmAs10579224,shared_tap,3952,STANDARD
AmAs10580224,tap_in_home_broken,410,CRITICAL
AmAs10581224,well,372,HIGH (Requires Pollution Check)
AmAs10582224,shared_tap,354,STANDARD
AmAs10583224,tap_in_home_broken,664,CRITICAL
AmAs10584224,tap_in_home_broken,780,CRITICAL
AmAs10585224,tap_in_home_broken,696,CRITICAL
AmAs10586224,tap_in_home_broken,776,CRITICAL
AmAs10587224,tap_in_home,418,STANDARD
AmAs10588224,tap_in_home_broken,462,CRITICAL
AmAs10589224,well,398,HIGH (Requires Pollution Check)
AmAs10590224,tap_in_home_broken,336,CRITICAL
AmAs10591224,tap_in_home_broken,514,CRITICAL
AmAs10592224,tap_in_home_broken,504,CRITICAL
AmAs10593224,tap_in_home_broken,550,CRITICAL
AmAs10594224,tap_in_home_broken,708,CRITICAL
AmAs10595224,shared_tap,1196,STANDARD
AmAs10596224,well,256,HIGH (Requires Pollution Check)
AmAs10597224,shared_tap,3090,STANDARD
AmAs10598224,tap_in_home_broken,648,CRITICAL
AmAs10599224,well,174,HIGH (Requires Pollution Check)
AmAs10600224,shared_tap,2650,STANDARD
AmAs10601224,tap_in_home_broken,620,CRITICAL
AmAs10602224,shared_tap,296,STANDARD
AmAs10603224,tap_in_home_broken,870,CRITICAL
AmAs10604224,tap_in_home,554,STANDARD
AmAs10605224,tap_in_home_broken,330,CRITICAL
AmAs10606224,tap_in_home,416,STANDARD
AmAs10607224,tap_in_home_broken,824,CRITICAL
AmAs10608224,tap_in_home,424,STANDARD
AmAs10609224,shared_tap,2792,STANDARD
AmAs10610224,tap_in_home,730,STANDARD
AmAs10611224,tap_in_home_broken,868,CRITICAL
AmAs10612224,tap_in_home_broken,940,CRITICAL
AmAs10613224,shared_tap,1788,STANDARD
AmAs10614224,well,344,HIGH (Requires Pollution Check)
AmAs10615224,tap_in_home,890,STANDARD
AmAs10616224,well,272,HIGH (Requires Pollution Check)
AmAs10617224,tap_in_home,482,STANDARD
AmAs10618224,tap_in_home_broken,862,CRITICAL
AmAs10619224,tap_in_home,898,STANDARD
AmAs10620224,tap_in_home,484,STANDARD
AmAs10621224,shared_tap,3678,STANDARD
AmAs10622224,well,286,HIGH (Requires Pollution Check)
AmAs10623224,tap_in_home,828,STANDARD
AmAs10624224,tap_in_home_broken,680,CRITICAL
AmAs10625224,well,270,HIGH (Requires Pollution Check)
AmAs10626224,tap_in_home,858,STANDARD
AmAs10627224,tap_in_home,884,STANDARD
AmAs10628224,tap_in_home,992,STANDARD
AmAs10629224,tap_in_home_broken,364,CRITICAL
AmAs10630224,river,914,CRITICAL
AmAs10631224,well,160,HIGH (Requires Pollution Check)
AmAs10632224,river,556,CRITICAL
AmAs10633224,shared_tap,1710,STANDARD
AmAs10634224,tap_in_home_broken,724,CRITICAL
AmAs10635224,tap_in_home,666,STANDARD
AmAs10636224,tap_in_home_broken,992,CRITICAL
AmAs10637224,river,498,CRITICAL
AmAs10638224,shared_tap,3950,STANDARD
AmAs10639224,tap_in_home,564,STANDARD
AmAs10640224,shared_tap,1664,STANDARD
AmAs10641224,shared_tap,2446,STANDARD
AmAs10642224,tap_in_home_broken,662,CRITICAL
AmAs10643224,shared_tap,588,STANDARD
AmAs10644224,well,392,HIGH (Requires Pollution Check)
AmAs10645224,tap_in_home_broken,992,CRITICAL
AmAs10646224,tap_in_home_broken,376,CRITICAL
AmAs10647224,shared_tap,492,STANDARD
AmAs10648224,shared_tap,1966,STANDARD
AmAs10649224,tap_in_home_broken,664,CRITICAL
AmAs10650224,tap_in_home,444,STANDARD
AmAs10651224,well,358,HIGH (Requires Pollution Check)
AmAs10652224,tap_in_home,914,STANDARD
AmAs10653224,tap_in_home,774,STANDARD
AmAs10654224,tap_in_home,604,STANDARD
AmAs10655224,shared_tap,2282,STANDARD
AmAs10656224,well,362,HIGH (Requires Pollution Check)
AmAs10657224,tap_in_home,696,STANDARD
AmAs10658224,tap_in_home_broken,710,CRITICAL
AmAs10659224,tap_in_home,928,STANDARD
AmAs10660224,tap_in_home,662,STANDARD
AmAs10661224,tap_in_home_broken,874,CRITICAL
AmAs10662224,shared_tap,946,STANDARD
AmAs10663224,tap_in_home,930,STANDARD
AmAs10664224,shared_tap,1500,STANDARD
AmAs10665224,tap_in_home_broken,766,CRITICAL
AmAs10666224,tap_in_home_broken,742,CRITICAL
AmAs10667224,well,164,HIGH (Requires Pollution Check)
AmAs10668224,tap_in_home,720,STANDARD
AmAs10669224,tap_in_home_broken,620,CRITICAL
AmAs10670224,tap_in_home,570,STANDARD
AmAs10671224,tap_in_home,816,STANDARD
AmAs10672224,tap_in_home,548,STANDARD
AmAs10673224,tap_in_home,786,STANDARD
AmAs10674224,shared_tap,2808,STANDARD
AmAs10675224,well,396,HIGH (Requires Pollution Check)
AmAs10676224,tap_in_home,466,STANDARD
AmAs10677224,tap_in_home_broken,764,CRITICAL
AmAs10678224,river,438,CRITICAL
AmAs10679224,shared_tap,408,STANDARD
AmAs10680224,shared_tap,3376,STANDARD
AmAs10681224,shared_tap,3096,STANDARD
AmAs10682224,tap_in_home,676,STANDARD
AmAs10683224,well,206,HIGH (Requires Pollution Check)
AmAs10684224,tap_in_home_broken,534,CRITICAL
AmAs10685224,well,310,HIGH (Requires Pollution Check)
AmAs10686224,tap_in_home_broken,438,CRITICAL
AmAs10687224,tap_in_home_broken,528,CRITICAL
AmAs10688224,tap_in_home_broken,494,CRITICAL
AmAs10689224,well,202,HIGH (Requires Pollution Check)
AmAs10690224,tap_in_home,432,STANDARD
AmAs10691224,tap_in_home,780,STANDARD
AmAs10692224,shared_tap,3662,STANDARD
AmAs10693224,tap_in_home,378,STANDARD
AmAs10694224,tap_in_home_broken,684,CRITICAL
AmAs10695224,shared_tap,630,STANDARD
AmAs10696224,well,324,HIGH (Requires Pollution Check)
AmAs10697224,shared_tap,1726,STANDARD
AmAs10698224,tap_in_home,616,STANDARD
AmAs10699224,shared_tap,358,STANDARD
AmAs10700224,tap_in_home,666,STANDARD
AmAs10701224,tap_in_home,900,STANDARD
AmAs10702224,tap_in_home,632,STANDARD
AmAs10703224,shared_tap,1886,STANDARD
AmAs10704224,tap_in_home_broken,356,CRITICAL
AmAs10705224,shared_tap,1686,STANDARD
AmAs10706224,tap_in_home,596,STANDARD
AmAs10707224,tap_in_home,828,STANDARD
AmAs10708224,tap_in_home_broken,798,CRITICAL
AmAs10709224,tap_in_home_broken,866,CRITICAL
AmAs10710224,tap_in_home,740,STANDARD
AmAs10711224,tap_in_home,682,STANDARD
AmAs10712224,tap_in_home,620,STANDARD
AmAs10713224,tap_in_home_broken,300,CRITICAL
AmAs10714224,tap_in_home,582,STANDARD
AmAs10715224,tap_in_home,936,STANDARD
AmAs10716224,well,200,HIGH (Requires Pollution Check)
AmAs10717224,tap_in_home,766,STANDARD
AmAs10718224,shared_tap,944,STANDARD
AmAs10719224,tap_in_home,948,STANDARD
AmAs10720224,tap_in_home_broken,514,CRITICAL
AmAs10721224,tap_in_home,502,STANDARD
AmAs10722224,shared_tap,3596,STANDARD
AmAs10723224,tap_in_home,740,STANDARD
AmAs10724224,tap_in_home_broken,786,CRITICAL
AmAs10725224,tap_in_home,952,STANDARD
AmAs10726224,well,316,HIGH (Requires Pollution Check)
AmAs10727224,well,396,HIGH (Requires Pollution Check)
AmAs10728224,tap_in_home_broken,888,CRITICAL
AmAs10729224,tap_in_home,424,STANDARD
AmAs10730224,shared_tap,1712,STANDARD
AmAs10731224,well,326,HIGH (Requires Pollution Check)
AmAs10732224,river,798,CRITICAL
AmAs10733224,tap_in_home_broken,332,CRITICAL
AmAs10734224,shared_tap,458,STANDARD
AmAs10735224,well,282,HIGH (Requires Pollution Check)
AmAs10736224,shared_tap,1550,STANDARD
AmAs10737224,well,244,HIGH (Requires Pollution Check)
AmAs10738224,tap_in_home_broken,476,CRITICAL
AmAs10739224,tap_in_home_broken,544,CRITICAL
AmAs10740224,tap_in_home,770,STANDARD
AmAs10741224,river,932,CRITICAL
AmAs10742224,tap_in_home_broken,420,CRITICAL
AmAs10743224,tap_in_home,348,STANDARD
AmAs10744224,tap_in_home,738,STANDARD
AmAs10745224,shared_tap,1108,STANDARD
AmAs10746224,shared_tap,1052,STANDARD
AmAs10747224,tap_in_home,640,STANDARD
AmAs10748224,tap_in_home,870,STANDARD
AmAs10749224,tap_in_home_broken,566,CRITICAL
AmAs10750224,well,204,HIGH (Requires Pollution Check)
AmAs10751224,tap_in_home_broken,894,CRITICAL
AmAs10752224,tap_in_home_broken,440,CRITICAL
AmAs10753224,shared_tap,3118,STANDARD
AmAs10754224,shared_tap,1414,STANDARD
AmAs10755224,shared_tap,1282,STANDARD
AmAs10756224,well,264,HIGH (Requires Pollution Check)
AmAs10757224,tap_in_home,796,STANDARD
AmAs10758224,tap_in_home_broken,416,CRITICAL
AmAs10759224,tap_in_home,422,STANDARD
AmAs10760224,tap_in_home,382,STANDARD
AmAs10761224,tap_in_home,762,STANDARD
AmAs10762224,shared_tap,1408,STANDARD
AmAs10763224,shared_tap,2922,STANDARD
AmAs10764224,tap_in_home,326,STANDARD
AmAs10765224,river,952,CRITICAL
AmAs10766224,shared_tap,3346,STANDARD
AmAs10767224,tap_in_home,712,STANDARD
AmAs10768224,tap_in_home,440,STANDARD
AmAs10769224,tap_in_home_broken,348,CRITICAL
AmAs10770224,tap_in_home_broken,508,CRITICAL
AmAs10771224,shared_tap,918,STANDARD
AmAs10772224,well,240,HIGH (Requires Pollution Check)
AmAs10773224,well,310,HIGH (Requires Pollution Check)
AmAs10774224,well,314,HIGH (Requires Pollution Check)
AmAs10775224,tap_in_home_broken,686,CRITICAL
AmAs10776224,tap_in_home,564,STANDARD
AmAs10777224,shared_tap,940,STANDARD
AmAs10778224,tap_in_home_broken,440,CRITICAL
AmAs10779224,shared_tap,3602,STANDARD
AmAs10780224,tap_in_home_broken,810,CRITICAL
AmAs10781224,tap_in_home,516,STANDARD
AmAs10782224,shared_tap,366,STANDARD
AmAs10783224,tap_in_home,426,STANDARD
AmAs10784224,tap_in_home,666,STANDARD
AmAs10785224,tap_in_home_broken,624,CRITICAL
AmAs10786224,shared_tap,1538,STANDARD
AmAs10787224,tap_in_home,822,STANDARD
AmAs10788224,well,308,HIGH (Requires Pollution Check)
AmAs10789224,tap_in_home,720,STANDARD
AmAs10790224,tap_in_home,700,STANDARD
AmAs10791224,tap_in_home_broken,340,CRITICAL
AmAs10792224,shared_tap,1898,STANDARD
AmAs10793224,tap_in_home,540,STANDARD
AmAs10794224,well,346,HIGH (Requires Pollution Check)
AmAs10795224,tap_in_home_broken,640,CRITICAL
AmAs10796224,tap_in_home,786,STANDARD
AmAs10797224,shared_tap,3196,STANDARD
AmAs10798224,shared_tap,3070,STANDARD
AmAs10799224,shared_tap,2056,STANDARD
AmAs10800224,tap_in_home_broken,342,CRITICAL
AmAs10801224,tap_in_home_broken,766,CRITICAL
AmAs10802224,tap_in_home,950,STANDARD
AmAs10803224,tap_in_home_broken,806,CRITICAL
AmAs10804224,shared_tap,2236,STANDARD
AmAs10805224,shared_tap,1638,STANDARD
AmAs10806224,tap_in_home_broken,346,CRITICAL
AmAs10807224,tap_in_home_broken,374,CRITICAL
AmAs10808224,well,160,HIGH (Requires Pollution Check)
AmAs10809224,shared_tap,672,STANDARD
AmAs10810224,tap_in_home,570,STANDARD
AmAs10811224,well,250,HIGH (Requires Pollution Check)
AmAs10812224,tap_in_home,812,STANDARD
AmAs10813224,tap_in_home,812,STANDARD
AmAs10814224,tap_in_home_broken,572,CRITICAL
AmAs10815224,tap_in_home_broken,818,CRITICAL
AmAs10816224,tap_in_home,828,STANDARD
AmAs10817224,tap_in_home_broken,516,CRITICAL
AmAs10818224,well,174,HIGH (Requires Pollution Check)
AmAs10819224,tap_in_home,728,STANDARD
AmAs10820224,well,214,HIGH (Requires Pollution Check)
AmAs10821224,tap_in_home,936,STANDARD
AmAs10822224,tap_in_home_broken,592,CRITICAL
AmAs10823224,shared_tap,1682,STANDARD
AmAs10824224,well,350,HIGH (Requires Pollution Check)
AmAs10825224,tap_in_home,372,STANDARD
AmAs10826224,tap_in_home_broken,850,CRITICAL
AmAs10827224,tap_in_home_broken,964,CRITICAL
AmAs10828224,tap_in_home,972,STANDARD
AmAs10829224,tap_in_home_broken,906,CRITICAL
AmAs10830224,tap_in_home_broken,540,CRITICAL
AmAs10831224,tap_in_home,768,STANDARD
AmAs10832224,tap_in_home,780,STANDARD
AmAs10833224,tap_in_home,858,STANDARD
AmAs10834224,tap_in_home,718,STANDARD
AmAs10835224,well,308,HIGH (Requires Pollution Check)
AmAs10836224,tap_in_home_broken,744,CRITICAL
AmAs10837224,well,170,HIGH (Requires Pollution Check)
AmAs10838224,tap_in_home_broken,898,CRITICAL
AmAs10839224,tap_in_home,412,STANDARD
AmAs10840224,tap_in_home_broken,302,CRITICAL
AmAs10841224,tap_in_home,692,STANDARD
AmAs10842224,well,270,HIGH (Requires Pollution Check)
AmAs10843224,shared_tap,524,STANDARD
AmAs10844224,shared_tap,1932,STANDARD
AmAs10845224,shared_tap,650,STANDARD
AmAs10846224,tap_in_home,684,STANDARD
AmAs10847224,tap_in_home,674,STANDARD
AmAs10848224,tap_in_home_broken,782,CRITICAL
AmAs10849224,river,516,CRITICAL
AmAs10850224,tap_in_home,810,STANDARD
AmAs10851224,tap_in_home_broken,848,CRITICAL
AmAs10852224,tap_in_home,390,STANDARD
AmAs10853224,tap_in_home,494,STANDARD
AmAs10854224,tap_in_home_broken,572,CRITICAL
AmAs10855224,tap_in_home_broken,484,CRITICAL
AmAs10856224,shared_tap,1692,STANDARD
AmAs10857224,tap_in_home,602,STANDARD
AmAs10858224,shared_tap,1474,STANDARD
AmAs10859224,shared_tap,3152,STANDARD
AmAs10860224,tap_in_home,314,STANDARD
AmAs10861224,tap_in_home,598,STANDARD
AmAs10862224,tap_in_home,306,STANDARD
AmAs10863224,tap_in_home_broken,700,CRITICAL
AmAs10864224,shared_tap,1258,STANDARD
AmAs10865224,tap_in_home,758,STANDARD
AmAs10866224,tap_in_home_broken,990,CRITICAL
AmAs10867224,tap_in_home_broken,358,CRITICAL
AmAs10868224,tap_in_home,558,STANDARD
AmAs10869224,well,300,HIGH (Requires Pollution Check)
AmAs10870224,shared_tap,1846,STANDARD
AmAs10871224,shared_tap,2666,STANDARD
AmAs10872224,tap_in_home_broken,770,CRITICAL
AmAs10873224,well,168,HIGH (Requires Pollution Check)
AmAs10874224,tap_in_home,648,STANDARD
AmAs10875224,tap_in_home,370,STANDARD
AmAs10876224,shared_tap,2506,STANDARD
AmAs10877224,tap_in_home_broken,438,CRITICAL
AmAs10878224,shared_tap,1934,STANDARD
AmAs10879224,river,410,CRITICAL
AmAs10880224,shared_tap,1976,STANDARD
AmAs10881224,tap_in_home,910,STANDARD
AmAs10882224,shared_tap,1496,STANDARD
AmAs10883224,tap_in_home_broken,830,CRITICAL
AmAs10884224,tap_in_home_broken,782,CRITICAL
AmAs10885224,tap_in_home,520,STANDARD
AmAs10886224,tap_in_home,506,STANDARD
AmAs10887224,shared_tap,2096,STANDARD
AmAs10888224,tap_in_home_broken,406,CRITICAL
AmAs10889224,tap_in_home,772,STANDARD
AmAs10890224,river,898,CRITICAL
AmAs10891224,shared_tap,1762,STANDARD
AmAs10892224,tap_in_home,350,STANDARD
AmAs10893224,tap_in_home_broken,688,CRITICAL
AmAs10894224,shared_tap,1242,STANDARD
AmAs10895224,shared_tap,1414,STANDARD
AmAs10896224,tap_in_home,692,STANDARD
AmAs10897224,tap_in_home,970,STANDARD
AmAs10898224,tap_in_home_broken,462,CRITICAL
AmAs10899224,shared_tap,450,STANDARD
AmAs10900224,tap_in_home_broken,694,CRITICAL
AmAs10901224,well,364,HIGH (Requires Pollution Check)
AmAs10902224,tap_in_home_broken,390,CRITICAL
AmAs10903224,well,272,HIGH (Requires Pollution Check)
AmAs10904224,tap_in_home_broken,436,CRITICAL
AmAs10905224,tap_in_home_broken,720,CRITICAL
AmAs10906224,well,252,HIGH (Requires Pollution Check)
AmAs10907224,river,614,CRITICAL
AmAs10908224,well,176,HIGH (Requires Pollution Check)
AmAs10909224,tap_in_home_broken,782,CRITICAL
AmAs10910224,tap_in_home_broken,338,CRITICAL
AmAs10911224,shared_tap,3996,STANDARD
AmAs10912224,tap_in_home,518,STANDARD
AmAs10913224,well,338,HIGH (Requires Pollution Check)
AmAs10914224,shared_tap,1362,STANDARD
AmAs10915224,well,318,HIGH (Requires Pollution Check)
AmAs10916224,tap_in_home,874,STANDARD
AmAs10917224,river,490,CRITICAL
AmAs10918224,tap_in_home_broken,456,CRITICAL
AmAs10919224,shared_tap,720,STANDARD
AmAs10920224,tap_in_home,794,STANDARD
AmAs10921224,tap_in_home,962,STANDARD
AmAs10922224,well,246,HIGH (Requires Pollution Check)
AmAs10923224,shared_tap,1126,STANDARD
AmAs10924224,tap_in_home_broken,682,CRITICAL
AmAs10925224,well,360,HIGH (Requires Pollution Check)
AmAs10926224,tap_in_home,940,STANDARD
AmAs10927224,tap_in_home_broken,700,CRITICAL
AmAs10928224,shared_tap,1802,STANDARD
AmAs10929224,tap_in_home_broken,334,CRITICAL
AmAs10930224,well,244,HIGH (Requires Pollution Check)
AmAs10931224,tap_in_home_broken,814,CRITICAL
AmAs10932224,tap_in_home_broken,956,CRITICAL
AmAs10933224,tap_in_home_broken,386,CRITICAL
AmAs10934224,tap_in_home_broken,388,CRITICAL
AmAs10935224,shared_tap,1806,STANDARD
AmAs10936224,tap_in_home,820,STANDARD
AmAs10937224,tap_in_home,312,STANDARD
AmAs10938224,tap_in_home_broken,610,CRITICAL
AmAs10939224,well,326,HIGH (Requires Pollution Check)
AmBe10940224,shared_tap,3416,STANDARD
AmBe10941224,tap_in_home,614,STANDARD
AmBe10942224,tap_in_home_broken,346,CRITICAL
AmBe10943224,shared_tap,3324,STANDARD
AmBe10944224,tap_in_home_broken,766,CRITICAL
AmBe10945224,tap_in_home_broken,474,CRITICAL
AmBe10946224,tap_in_home,382,STANDARD
AmBe10947224,tap_in_home_broken,894,CRITICAL
AmBe10948224,tap_in_home,312,STANDARD
AmBe10949224,tap_in_home,888,STANDARD
AmBe10950224,tap_in_home,818,STANDARD
AmBe10951224,river,912,CRITICAL
AmBe10952224,tap_in_home,458,STANDARD
AmBe10953224,tap_in_home_broken,500,CRITICAL
AmBe10954224,tap_in_home_broken,640,CRITICAL
AmBe10955224,shared_tap,2414,STANDARD
AmBe10956224,tap_in_home,906,STANDARD
AmBe10957224,tap_in_home_broken,624,CRITICAL
AmBe10958224,tap_in_home,304,STANDARD
AmBe10959224,shared_tap,2420,STANDARD
AmBe10960224,tap_in_home,430,STANDARD
AmBe10961224,tap_in_home_broken,862,CRITICAL
AmBe10962224,tap_in_home_broken,600,CRITICAL
AmBe10963224,shared_tap,2774,STANDARD
AmBe10964224,tap_in_home,786,STANDARD
AmBe10965224,shared_tap,1282,STANDARD
AmBe10966224,well,202,HIGH (Requires Pollution Check)
AmBe10967224,tap_in_home,736,STANDARD
AmBe10968224,tap_in_home_broken,700,CRITICAL
AmBe10969224,shared_tap,1856,STANDARD
AmBe10970224,tap_in_home,950,STANDARD
AmBe10971224,tap_in_home_broken,890,CRITICAL
AmBe10972224,tap_in_home_broken,668,CRITICAL
AmBe10973224,tap_in_home_broken,570,CRITICAL
AmBe10974224,shared_tap,2912,STANDARD
AmBe10975224,tap_in_home_broken,666,CRITICAL
AmBe10976224,tap_in_home_broken,524,CRITICAL
AmBe10977224,shared_tap,1444,STANDARD
AmBe10978224,river,674,CRITICAL
AmBe10979224,tap_in_home_broken,542,CRITICAL
AmBe10980224,tap_in_home_broken,902,CRITICAL
AmBe10981224,tap_in_home_broken,626,CRITICAL
AmBe10982224,tap_in_home,344,STANDARD
AmBe10983224,tap_in_home,456,STANDARD
AmBe10984224,tap_in_home_broken,470,CRITICAL
AmBe10985224,tap_in_home,762,STANDARD
AmBe10986224,tap_in_home_broken,922,CRITICAL
AmBe10987224,tap_in_home_broken,504,CRITICAL
AmBe10988224,tap_in_home_broken,324,CRITICAL
AmBe10989224,tap_in_home_broken,756,CRITICAL
AmBe10990224,tap_in_home_broken,438,CRITICAL
AmBe10991224,shared_tap,1684,STANDARD
AmBe10992224,tap_in_home,400,STANDARD
AmBe10993224,tap_in_home_broken,832,CRITICAL
AmBe10994224,shared_tap,3492,STANDARD
AmBe10995224,tap_in_home,980,STANDARD
AmBe10996224,tap_in_home_broken,950,CRITICAL
AmBe10997224,shared_tap,1274,STANDARD
AmBe10998224,tap_in_home_broken,592,CRITICAL
AmBe10999224,tap_in_home_broken,436,CRITICAL
AmBe11000224,tap_in_home_broken,462,CRITICAL
AmBe11001224,tap_in_home_broken,410,CRITICAL
AmBe11002224,tap_in_home,978,STANDARD
AmBe11003224,tap_in_home,332,STANDARD
AmBe11004224,tap_in_home,922,STANDARD
AmBe11005224,well,262,HIGH (Requires Pollution Check)
AmBe11006224,river,438,CRITICAL
AmBe11007224,tap_in_home,628,STANDARD
AmBe11008224,tap_in_home_broken,842,CRITICAL
AmBe11009224,tap_in_home_broken,498,CRITICAL
AmBe11010224,tap_in_home_broken,988,CRITICAL
AmBe11011224,tap_in_home_broken,522,CRITICAL
AmBe11012224,shared_tap,1154,STANDARD
AmBe11013224,river,886,CRITICAL
AmBe11014224,tap_in_home,560,STANDARD
AmBe11015224,tap_in_home,724,STANDARD
AmBe11016224,shared_tap,2488,STANDARD
AmBe11017224,shared_tap,542,STANDARD
AmBe11018224,tap_in_home,426,STANDARD
AmBe11019224,well,200,HIGH (Requires Pollution Check)
AmBe11020224,tap_in_home_broken,618,CRITICAL
AmBe11021224,shared_tap,3136,STANDARD
AmBe11022224,tap_in_home,558,STANDARD
AmBe11023224,tap_in_home,796,STANDARD
AmBe11024224,tap_in_home,796,STANDARD
AmBe11025224,tap_in_home,526,STANDARD
AmBe11026224,tap_in_home,380,STANDARD
AmBe11027224,tap_in_home,552,STANDARD
AmBe11028224,tap_in_home,746,STANDARD
AmBe11029224,shared_tap,2016,STANDARD
AmBe11030224,shared_tap,2082,STANDARD
AmBe11031224,tap_in_home,676,STANDARD
AmBe11032224,tap_in_home_broken,848,CRITICAL
AmBe11033224,tap_in_home_broken,480,CRITICAL
AmBe11034224,tap_in_home_broken,718,CRITICAL
AmBe11035224,tap_in_home_broken,340,CRITICAL
AmBe11036224,shared_tap,2312,STANDARD
AmBe11037224,shared_tap,2876,STANDARD
AmBe11038224,shared_tap,1612,STANDARD
AmBe11039224,tap_in_home_broken,400,CRITICAL
AmBe11040224,river,484,CRITICAL
AmBe11041224,tap_in_home_broken,422,CRITICAL
AmBe11042224,tap_in_home,730,STANDARD
AmBe11043224,shared_tap,3510,STANDARD
AmBe11044224,shared_tap,2948,STANDARD
AmBe11045224,tap_in_home,490,STANDARD
AmBe11046224,shared_tap,3944,STANDARD
AmBe11047224,tap_in_home,352,STANDARD
AmBe11048224,tap_in_home,556,STANDARD
AmBe11049224,shared_tap,1808,STANDARD
AmBe11050224,tap_in_home,484,STANDARD
AmBe11051224,tap_in_home,700,STANDARD
AmBe11052224,tap_in_home,554,STANDARD
AmBe11053224,well,208,HIGH (Requires Pollution Check)
AmBe11054224,tap_in_home_broken,786,CRITICAL
AmBe11055224,river,982,CRITICAL
AmBe11056224,shared_tap,3394,STANDARD
AmBe11057224,tap_in_home_broken,576,CRITICAL
AmBe11058224,tap_in_home,604,STANDARD
AmBe11059224,tap_in_home_broken,822,CRITICAL
AmBe11060224,tap_in_home_broken,766,CRITICAL
AmBe11061224,tap_in_home_broken,458,CRITICAL
AmBe11062224,tap_in_home,508,STANDARD
AmBe11063224,tap_in_home,762,STANDARD
AmBe11064224,tap_in_home_broken,974,CRITICAL
AmBe11065224,shared_tap,2454,STANDARD
AmBe11066224,well,240,HIGH (Requires Pollution Check)
AmBe11067224,shared_tap,3226,STANDARD
AmBe11068224,shared_tap,638,STANDARD
AmBe11069224,tap_in_home_broken,370,CRITICAL
AmBe11070224,shared_tap,2472,STANDARD
AmBe11071224,tap_in_home,732,STANDARD
AmBe11072224,tap_in_home,746,STANDARD
AmBe11073224,well,236,HIGH (Requires Pollution Check)
AmBe11074224,shared_tap,2720,STANDARD
AmBe11075224,tap_in_home,950,STANDARD
AmBe11076224,shared_tap,1744,STANDARD
AmBe11077224,tap_in_home_broken,656,CRITICAL
AmBe11078224,tap_in_home_broken,570,CRITICAL
AmBe11079224,shared_tap,3176,STANDARD
AmBe11080224,river,776,CRITICAL
AmBe11081224,shared_tap,1922,STANDARD
AmBe11082224,tap_in_home_broken,860,CRITICAL
AmBe11083224,tap_in_home,366,STANDARD
AmBe11084224,tap_in_home_broken,466,CRITICAL
AmBe11085224,tap_in_home,588,STANDARD
AmBe11086224,tap_in_home_broken,760,CRITICAL
AmBe11087224,river,588,CRITICAL
AmBe11088224,shared_tap,652,STANDARD
AmBe11089224,shared_tap,1778,STANDARD
AmBe11090224,tap_in_home_broken,444,CRITICAL
AmBe11091224,shared_tap,530,STANDARD
AmBe11092224,tap_in_home,388,STANDARD
AmBe11093224,shared_tap,2704,STANDARD
AmBe11094224,tap_in_home,690,STANDARD
AmBe11095224,tap_in_home_broken,878,CRITICAL
AmBe11096224,tap_in_home_broken,586,CRITICAL
AmBe11097224,shared_tap,2962,STANDARD
AmBe11098224,tap_in_home_broken,476,CRITICAL
AmBe11099224,tap_in_home,894,STANDARD
AmBe11100224,shared_tap,2134,STANDARD
AmBe11101224,shared_tap,2416,STANDARD
AmBe11102224,tap_in_home_broken,420,CRITICAL
