project_id,source_id,address,town,province,source_type,improvement,source_status,date_of_completion,comments
4109,SoRu35552224,170 Monrovia Street,Rural,Sokoto,well,Install RO filter,Backlog,,
4110,KiRu30474224,86 Sahara Street,Rural,Kilimani,well,Install RO filter,Backlog,,
4111,SoMa33775224,19 Algiers Road,Majengo,Sokoto,river,Drill well,Backlog,,
4112,AmRu15735224,15 Franco Luambo Avenue,Rural,Amanzi,well,Install UV and RO filter,Backlog,,
4113,KiHa23373224,143 Samora Machel Road,Harare,Kilimani,well,Install UV and RO filter,Backlog,,
4114,SoKo33307224,19 Chura Mandela Avenue,Kofi,Sokoto,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
4115,KiRu28351224,61 Twiga Kagame Avenue,Rural,Kilimani,shared_tap,Install 8 taps nearby,Backlog,,
4116,AkRu08886224,39 Ladysmith Black Street,Rural,Akatsi,shared_tap,Install 2 taps nearby,Backlog,,
4117,HaRu18036224,4 Lubumbashi Lane,Rural,Hawassa,well,Install UV and RO filter,Backlog,,
4118,HaRu20074224,82 Milima Kali Street,Rural,Hawassa,well,Install RO filter,Backlog,,
4119,KiRu27728224,95 Desmond Tutu Street,Rural,Kilimani,river,Drill well,Backlog,,
4120,SoRu37852224,77 Kuku Kenyatta Road,Rural,Sokoto,well,Install UV and RO filter,Backlog,,
4121,SoMa33626224,8 Luxor Avenue,Majengo,Sokoto,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
4122,KiRu26112224,73 Nyerere Road,Rural,Kilimani,shared_tap,Install 5 taps nearby,Backlog,,
4123,AkLu02625224,17 Papa Wemba Road,Lusaka,Akatsi,well,Install UV and RO filter,Backlog,,
4124,AkKi01422224,12 Zambezi Street,Kintampo,Akatsi,well,Install RO filter,Backlog,,
4125,AmRu14052224,19 Senghor Way,Rural,Amanzi,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
4126,HaRu17089224,127 Twiga Lane,Rural,Hawassa,well,Install RO filter,Backlog,,
4127,AkRu07532224,96 Mto Wa Furaha Road,Rural,Akatsi,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
4128,HaRu17627224,87 Constantine Road,Rural,Hawassa,well,Install UV and RO filter,Backlog,,
4129,SoRu39075224,67 Youssou N'Dour Road,Rural,Sokoto,river,Drill well,Backlog,,
4130,KiHa22858224,7 Dar es Salaam Drive,Harare,Kilimani,well,Install UV and RO filter,Backlog,,
4131,AkLu02607224,136 Papa Wemba Road,Lusaka,Akatsi,well,Install RO filter,Backlog,,
4132,KiRu28949224,66 Ziwa La Kioo Road,Rural,Kilimani,well,Install UV and RO filter,Backlog,,
4133,AkRu06035224,49 Simba Road,Rural,Akatsi,well,Install RO filter,Backlog,,
4134,AkRu05079224,117 Bissau Street,Rural,Akatsi,well,Install RO filter,Backlog,,
4135,HaDe16606224,27 Yvonne Chaka Road,Deka,Hawassa,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
4136,AmRu15057224,32 Mbuni Soyinka Avenue,Rural,Amanzi,well,Install RO filter,Backlog,,
4137,KiRu29009224,40 Njia Ya Maji Road,Rural,Kilimani,well,Install RO filter,Backlog,,
4138,SoRu35984224,164 Seychelles Street,Rural,Sokoto,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
4139,AmAs10708224,172 Jangwa La Fisi Street,Asmara,Amanzi,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
4140,HaDj16782224,27 Durban Road,Djenne,Hawassa,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
4141,HaRu19509224,129 Mnyama Dangote Road,Rural,Hawassa,shared_tap,Install 1 taps nearby,Backlog,,
4142,AmRu15823224,33 African Queen Road,Rural,Amanzi,shared_tap,Install 2 taps nearby,Backlog,,
4143,AkKi00959224,38 Tunis Street,Kintampo,Akatsi,well,Install RO filter,Backlog,,
4144,HaRu17925224,23 Lubumbashi Lane,Rural,Hawassa,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
4145,HaAm16238224,100 Kifaru Lumumba Road,Amina,Hawassa,shared_tap,Install 1 taps nearby,Backlog,,
4146,HaAm16030224,174 Garang Street,Amina,Hawassa,well,Install UV and RO filter,Backlog,,
4147,HaAm16068224,3 Garang Street,Amina,Hawassa,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
4148,AmAb09247224,44 Fela Kuti Drive,Abidjan,Amanzi,shared_tap,Install 1 taps nearby,Backlog,,
4149,KiRu28108224,39 Nyuki Okonjo Drive,Rural,Kilimani,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
4150,AkRu07792224,82 Ukingo Wa Mto Road,Rural,Akatsi,shared_tap,Install 3 taps nearby,Backlog,,
4151,AmRu15507224,155 Jerusalema Lane,Rural,Amanzi,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
4152,SoRu39533224,102 Angelique Street,Rural,Sokoto,well,Install RO filter,Backlog,,
4153,AkLu01747224,17 Lilongwe Street,Lusaka,Akatsi,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
4154,HaRu19563224,6 Mnyama Dangote Road,Rural,Hawassa,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
4155,HaRu18828224,68 Khama Avenue,Rural,Hawassa,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
4156,AkHa00142224,92 Addis Ababa Road,Harare,Akatsi,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
4157,KiRu27958224,102 Duma Leakey Road,Rural,Kilimani,well,Install UV and RO filter,Backlog,,
4158,AkRu03740224,5 Lumumba Street,Rural,Akatsi,well,Install RO filter,Backlog,,
4159,HaRu18752224,36 Amin Road,Rural,Hawassa,well,Install UV and RO filter,Backlog,,
4160,KiIs23809224,68 Cape Coast Road,Isiqalo,Kilimani,well,Install UV and RO filter,Backlog,,
4161,KiRu30442224,30 Sahara Street,Rural,Kilimani,shared_tap,Install 2 taps nearby,Backlog,,
4162,SoRu37586224,20 Panya Zinjathropus Avenue,Rural,Sokoto,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
4163,AkRu08840224,164 Ladysmith Black Street,Rural,Akatsi,river,Drill well,Backlog,,
4164,SoRu37060224,95 Nelson Mandela Street,Rural,Sokoto,river,Drill well,Backlog,,
4165,SoRu36937224,139 Ellen Johnson Sirleaf Street,Rural,Sokoto,shared_tap,Install 1 taps nearby,Backlog,,
4166,SoIl32976224,60 Cape Verde Street,Ilanga,Sokoto,well,Install UV and RO filter,Backlog,,
4167,KiMr24788224,2 Ziwa La Amani Drive,Mrembo,Kilimani,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
4168,HaRu19383224,39 Twiga Lumumba Boulevard,Rural,Hawassa,river,Drill well,Backlog,,
4169,HaRu20690224,78 Tuku Street,Rural,Hawassa,well,Install UV and RO filter,Backlog,,
4170,AkRu04922224,60 Bissau Street,Rural,Akatsi,well,Install RO filter,Backlog,,
4171,AmAb09319224,41 N'dour Avenue,Abidjan,Amanzi,shared_tap,Install 8 taps nearby,Backlog,,
4172,KiMr24313224,40 Sokoto Avenue,Mrembo,Kilimani,well,Install UV and RO filter,Backlog,,
4173,AkLu01660224,91 Mogadishu Road,Lusaka,Akatsi,river,Drill well,Backlog,,
4174,AkRu08635224,19 Waka Waka Avenue,Rural,Akatsi,well,Install UV and RO filter,Backlog,,
4175,AmRu13925224,80 Timbuktu Road,Rural,Amanzi,well,Install UV and RO filter,Backlog,,
4176,AmAm09986224,198 Afro Jazz Street,Amina,Amanzi,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
4177,SoMa34377224,25 Lilongwe Drive,Marang,Sokoto,river,Drill well,Backlog,,
4178,SoRu34868224,35 Ndovu Avenue,Rural,Sokoto,shared_tap,Install 8 taps nearby,Backlog,,
4179,AmAs10840224,137 Jangwa La Fisi Street,Asmara,Amanzi,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
4180,AmAm09617224,100 Lumumba Lane,Amina,Amanzi,river,Drill well,Backlog,,
4181,KiRu28921224,48 Ziwa La Kioo Road,Rural,Kilimani,river,Drill well,Backlog,,
4182,KiRu26374224,169 Kimathi Street,Rural,Kilimani,shared_tap,Install 8 taps nearby,Backlog,,
4183,AkRu04487224,38 Antananarivo Road,Rural,Akatsi,shared_tap,Install 7 taps nearby,Backlog,,
4184,SoKo33121224,60 Biko Avenue,Kofi,Sokoto,river,Drill well,Backlog,,
4185,HaSe21241224,4 Afro Beat Road,Serowe,Hawassa,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
4186,AmRu14861224,1 Achebe Kifaru Drive,Rural,Amanzi,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
4187,HaRu17703224,105 Constantine Road,Rural,Hawassa,well,Install RO filter,Backlog,,
4188,KiRu29132224,23 Mto Wa Raha Drive,Rural,Kilimani,well,Install RO filter,Backlog,,
4189,AkRu08451224,94 African Skies Street,Rural,Akatsi,well,Install RO filter,Backlog,,
4190,KiRu26262224,20 Kimathi Street,Rural,Kilimani,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
4191,SoRu35769224,98 Mombasa Road,Rural,Sokoto,river,Drill well,Backlog,,
4192,KiAm22118224,125 Lome Street,Amara,Kilimani,well,Install UV and RO filter,Backlog,,
4193,AkLu02269224,189 Okonjo-Iweala Street,Lusaka,Akatsi,well,Install RO filter,Backlog,,
4194,SoRu36445224,149 Nkrumah Road,Rural,Sokoto,river,Drill well,Backlog,,
4195,KiZu30952224,109 Yaounde Street,Zuri,Kilimani,shared_tap,Install 8 taps nearby,Backlog,,
4196,SoRu39392224,51 Amadou & Mariam Avenue,Rural,Sokoto,river,Drill well,Backlog,,
4197,AmRu13489224,106 Casablanca Street,Rural,Amanzi,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
4198,SoMa34569224,120 Thomas Mapfumo Road,Marang,Sokoto,well,Install UV and RO filter,Backlog,,
4199,HaDj16737224,40 Durban Road,Djenne,Hawassa,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
4200,AmRu14800224,69 Nyama Choma Street,Rural,Amanzi,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
4201,HaRu18532224,137 Kano Street,Rural,Hawassa,well,Install RO filter,Backlog,,
4202,KiRu29678224,80 Ziwa La Upendo Street,Rural,Kilimani,well,Install RO filter,Backlog,,
4203,SoRu37859224,92 Kuku Kenyatta Road,Rural,Sokoto,river,Drill well,Backlog,,
4204,AkRu03170224,40 Kigali Place,Rural,Akatsi,well,Install UV and RO filter,Backlog,,
4205,HaRu18734224,14 Amin Road,Rural,Hawassa,well,Install RO filter,Backlog,,
4206,KiRu27525224,22 Soyinka Boulevard,Rural,Kilimani,river,Drill well,Backlog,,
4207,SoRu36515224,31 Machel Lane,Rural,Sokoto,river,Drill well,Backlog,,
4208,KiZu31421224,60 Mto Wa Maji Avenue,Zuri,Kilimani,river,Drill well,Backlog,,
4209,KiRu27646224,54 Desmond Tutu Street,Rural,Kilimani,well,Install UV and RO filter,Backlog,,
4210,HaRu19454224,1 Mnyama Dangote Road,Rural,Hawassa,shared_tap,Install 1 taps nearby,Backlog,,
4211,KiRu25375224,48 Mwanza Street,Rural,Kilimani,well,Install UV and RO filter,Backlog,,
4212,KiHa23367224,122 Samora Machel Road,Harare,Kilimani,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
4213,HaRu17287224,31 Tangier Terrace,Rural,Hawassa,well,Install UV and RO filter,Backlog,,
4214,AmRu14562224,30 Desmond Tutu Road,Rural,Amanzi,river,Drill well,Backlog,,
4215,KiRu26799224,68 N'Djamena Road,Rural,Kilimani,well,Install RO filter,Backlog,,
4216,KiRu27406224,63 Kaduna Road,Rural,Kilimani,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
4217,SoRu39408224,54 Amadou & Mariam Avenue,Rural,Sokoto,shared_tap,Install 1 taps nearby,Backlog,,
4218,KiRu29661224,113 Ziwa La Upendo Street,Rural,Kilimani,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
4219,AmRu14905224,37 Ngiri Achebe Drive,Rural,Amanzi,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
4220,SoRu34669224,107 Simba Road,Rural,Sokoto,well,Install RO filter,Backlog,,
4221,HaDj16926224,47 Amina Mohammed Drive,Djenne,Hawassa,well,Install UV and RO filter,Backlog,,
4222,AkHa00529224,4 Ukingo Mkuu Drive,Harare,Akatsi,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
4223,AmRu15588224,34 Jerusalema Lane,Rural,Amanzi,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
4224,SoIl32468224,161 Sfax Street,Ilanga,Sokoto,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
4225,KiRu26637224,13 Gaborone Avenue,Rural,Kilimani,well,Install RO filter,Backlog,,
4226,KiZu31014224,97 Yaounde Street,Zuri,Kilimani,shared_tap,Install 2 taps nearby,Backlog,,
4227,SoRu35669224,56 Moroni Avenue,Rural,Sokoto,river,Drill well,Backlog,,
4228,SoRu37280224,66 Kofi Annan Avenue,Rural,Sokoto,river,Drill well,Backlog,,
4229,AkRu02988224,26 Dakar Crescent,Rural,Akatsi,well,Install RO filter,Backlog,,
4230,HaRu18895224,1 Zuma Avenue,Rural,Hawassa,well,Install RO filter,Backlog,,
4231,AkLu01746224,182 Lilongwe Street,Lusaka,Akatsi,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
4232,HaYa21599224,7 Djembe Drive,Yaounde,Hawassa,well,Install RO filter,Backlog,,
4233,AkRu04885224,166 Giza Street,Rural,Akatsi,well,Install UV and RO filter,Backlog,,
4234,KiMr25031224,50 Ziwa La Tumaini Drive,Mrembo,Kilimani,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
4235,AkRu07200224,16 Simba Tutu Street,Rural,Akatsi,river,Drill well,Backlog,,
4236,KiHa23162224,20 Port Said Street,Harare,Kilimani,river,Drill well,Backlog,,
4237,KiMr25033224,5 Ziwa La Tumaini Drive,Mrembo,Kilimani,well,Install RO filter,Backlog,,
4238,AkRu04879224,151 Giza Street,Rural,Akatsi,river,Drill well,Backlog,,
4239,SoMa34100224,200 Yaya Tour̩ Lane,Majengo,Sokoto,well,Install UV and RO filter,Backlog,,
4240,HaRu18796224,48 Khama Avenue,Rural,Hawassa,well,Install RO filter,Backlog,,
4241,AmAs10603224,107 Nadi Kijani Lane,Asmara,Amanzi,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
4242,SoMa34249224,142 Freetown Road,Marang,Sokoto,well,Install RO filter,Backlog,,
4243,KiHa22648224,44 Tripoli Street,Harare,Kilimani,well,Install UV and RO filter,Backlog,,
4244,SoRu34768224,1 Simba Road,Rural,Sokoto,river,Drill well,Backlog,,
4245,SoRu39214224,50 Hugh Masekela Avenue,Rural,Sokoto,shared_tap,Install 2 taps nearby,Backlog,,
4246,HaZa21848224,53 Jomo Kenyatta Avenue,Zanzibar,Hawassa,shared_tap,Install 6 taps nearby,Backlog,,
4247,SoRu35899224,162 Seychelles Street,Rural,Sokoto,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
4248,KiZu30716224,118 Banjul Street,Zuri,Kilimani,shared_tap,Install 8 taps nearby,Backlog,,
4249,SoRu38711224,173 Mto Wa Ukarimu Street,Rural,Sokoto,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
4250,AmAs10917224,55 Mto Mbuni Avenue,Asmara,Amanzi,river,Drill well,Backlog,,
4251,HaRu18688224,102 Amin Road,Rural,Hawassa,well,Install UV and RO filter,Backlog,,
4252,AmAm09384224,2 Zambezi Way,Amina,Amanzi,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
4253,KiRu27871224,55 Haile Selassie Avenue,Rural,Kilimani,river,Drill well,Backlog,,
4254,SoBa31861224,74 Chura Usman Street,Bahari,Sokoto,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
4255,KiRu27800224,127 Desmond Tutu Street,Rural,Kilimani,well,Install RO filter,Backlog,,
4256,SoRu39262224,10 Shakira Drive,Rural,Sokoto,well,Install UV and RO filter,Backlog,,
4257,KiZu30904224,7 Yaounde Street,Zuri,Kilimani,shared_tap,Install 8 taps nearby,Backlog,,
4258,AkRu06431224,73 Punda Kagame Street,Rural,Akatsi,shared_tap,Install 7 taps nearby,Backlog,,
4259,AmRu15753224,108 African Queen Road,Rural,Amanzi,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
4260,SoRu39053224,52 Youssou N'Dour Road,Rural,Sokoto,river,Drill well,Backlog,,
4261,HaRu17193224,29 Marrakech Terrace,Rural,Hawassa,shared_tap,Install 8 taps nearby,Backlog,,
4262,HaRu19551224,55 Mnyama Dangote Road,Rural,Hawassa,well,Install UV and RO filter,Backlog,,
4263,AmRu15354224,28 Ziwa La Machweo Avenue,Rural,Amanzi,shared_tap,Install 4 taps nearby,Backlog,,
4264,AmRu15752224,134 African Queen Road,Rural,Amanzi,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
4265,HaRu20543224,113 Gbenga Adeyinka Street,Rural,Hawassa,shared_tap,Install 4 taps nearby,Backlog,,
4266,HaYa21616224,8 Djembe Drive,Yaounde,Hawassa,well,Install RO filter,Backlog,,
4267,KiRu29935224,65 Special Star Road,Rural,Kilimani,well,Install UV and RO filter,Backlog,,
4268,AmAs10146224,143 Tembo Road,Asmara,Amanzi,shared_tap,Install 8 taps nearby,Backlog,,
4269,SoRu36165224,54 Rabat Avenue,Rural,Sokoto,river,Drill well,Backlog,,
4270,KiIs24145224,124 Kiboko Senghor Road,Isiqalo,Kilimani,well,Install RO filter,Backlog,,
4271,AmRu13360224,4 Lusaka Avenue,Rural,Amanzi,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
4272,KiAm22442224,36 Bahari Ya Kupendeza Drive,Amara,Kilimani,well,Install RO filter,Backlog,,
4273,KiZu31071224,126 Yaounde Street,Zuri,Kilimani,shared_tap,Install 3 taps nearby,Backlog,,
4274,SoMa33868224,143 Ciss̩ Road,Majengo,Sokoto,well,Install RO filter,Backlog,,
4275,KiZu31167224,124 Conakry Street,Zuri,Kilimani,shared_tap,Install 1 taps nearby,Backlog,,
4276,HaDj16843224,22 Nairobi Drive,Djenne,Hawassa,well,Install RO filter,Backlog,,
4277,AmRu13220224,95 Hurghada Street,Rural,Amanzi,well,Install RO filter,Backlog,,
4278,SoMa34380224,18 Drogba Drive,Marang,Sokoto,well,Install RO filter,Backlog,,
4279,KiRu25426224,23 Mwanza Street,Rural,Kilimani,shared_tap,Install 6 taps nearby,Backlog,,
4280,KiHa22734224,144 Tripoli Street,Harare,Kilimani,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
4281,HaRu17243224,5 Savannah Grove,Rural,Hawassa,well,Install RO filter,Backlog,,
4282,AkRu04482224,111 Antananarivo Road,Rural,Akatsi,well,Install RO filter,Backlog,,
4283,AkRu04002224,46 Moi Avenue,Rural,Akatsi,well,Install RO filter,Backlog,,
4284,AkRu06884224,150 Fisi Nkrumah Street,Rural,Akatsi,shared_tap,Install 8 taps nearby,Backlog,,
4285,HaZa21672224,71 Kampala Road,Zanzibar,Hawassa,well,Install RO filter,Backlog,,
4286,AkRu03803224,26 Lumumba Street,Rural,Akatsi,shared_tap,Install 1 taps nearby,Backlog,,
4287,AkHa00600224,55 Yvonne Chaka Street,Harare,Akatsi,well,Install UV and RO filter,Backlog,,
4288,AmPw12773224,49 Tumbili Kenyatta Avenue,Pwani,Amanzi,shared_tap,Install 3 taps nearby,Backlog,,
4289,AkRu07647224,6 Mto Wa Furaha Road,Rural,Akatsi,well,Install RO filter,Backlog,,
4290,HaRu20826224,85 Tuku Street,Rural,Hawassa,well,Install RO filter,Backlog,,
4291,SoRu39054224,120 Youssou N'Dour Road,Rural,Sokoto,river,Drill well,Backlog,,
4292,SoRu36578224,175 Machel Lane,Rural,Sokoto,well,Install UV and RO filter,Backlog,,
4293,HaRu17828224,13 Tunis Road,Rural,Hawassa,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
4294,KiRu26501224,39 Alexandria Avenue,Rural,Kilimani,river,Drill well,Backlog,,
4295,HaZa21827224,9 Jomo Kenyatta Avenue,Zanzibar,Hawassa,well,Install RO filter,Backlog,,
4296,KiZu31091224,8 Maputo Drive,Zuri,Kilimani,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
4297,AmAs10163224,46 Nile Way,Asmara,Amanzi,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
4298,AkLu02401224,32 Maji Matulivu Avenue,Lusaka,Akatsi,well,Install RO filter,Backlog,,
4299,HaRu18050224,94 Lubumbashi Lane,Rural,Hawassa,well,Install UV and RO filter,Backlog,,
4300,AkRu05265224,97 Kenyatta Street,Rural,Akatsi,shared_tap,Install 1 taps nearby,Backlog,,
4301,AkRu02727224,1 Nia Lane,Rural,Akatsi,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
4302,AkRu04365224,159 Asmara Street,Rural,Akatsi,well,Install RO filter,Backlog,,
4303,SoBa31768224,61 Chura Usman Street,Bahari,Sokoto,well,Install UV and RO filter,Backlog,,
4304,AmBe10976224,183 Achebe Street,Bello,Amanzi,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
4305,SoRu38220224,197 Mto Wa Uzima Street,Rural,Sokoto,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
4306,SoRu38835224,18 Cape Town Avenue,Rural,Sokoto,river,Drill well,Backlog,,
4307,AkRu06963224,88 Fisi Nkrumah Street,Rural,Akatsi,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
4308,AkRu06314224,106 Punda Kagame Street,Rural,Akatsi,well,Install RO filter,Backlog,,
4309,KiRu30467224,200 Sahara Street,Rural,Kilimani,well,Install RO filter,Backlog,,
4310,AkHa00352224,179 Oliver Tambo Street,Harare,Akatsi,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
4311,KiAm22550224,66 Bahari Ya Upendo Road,Amara,Kilimani,well,Install UV and RO filter,Backlog,,
4312,SoBa31484224,25 Stanley Avenue,Bahari,Sokoto,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
4313,KiRu25915224,54 Kalahari Avenue,Rural,Kilimani,shared_tap,Install 4 taps nearby,Backlog,,
4314,SoRu37733224,94 Kuku Kenyatta Road,Rural,Sokoto,well,Install UV and RO filter,Backlog,,
4315,SoRu37304224,12 Kofi Annan Avenue,Rural,Sokoto,river,Drill well,Backlog,,
4316,AkHa00497224,26 Ukingo Mkuu Drive,Harare,Akatsi,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
4317,HaDj16808224,57 Durban Road,Djenne,Hawassa,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
4318,AkLu02525224,150 Papa Wemba Road,Lusaka,Akatsi,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
4319,AmAm09981224,79 Afro Jazz Street,Amina,Amanzi,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
4320,KiHa22830224,6 Dar es Salaam Drive,Harare,Kilimani,well,Install UV and RO filter,Backlog,,
4321,AkKi01287224,197 Ziwa Nyeusi Street,Kintampo,Akatsi,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
4322,KiIs23630224,30 Dodoma Drive,Isiqalo,Kilimani,well,Install UV and RO filter,Backlog,,
4323,AmDa11358224,7 Johannesburg Street,Dahabu,Amanzi,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
4324,HaRu18070224,56 Bamenda Boulevard,Rural,Hawassa,well,Install RO filter,Backlog,,
4325,AkRu08415224,102 African Skies Street,Rural,Akatsi,well,Install RO filter,Backlog,,
4326,SoRu38603224,63 Mlima Wa Ufalme Avenue,Rural,Sokoto,river,Drill well,Backlog,,
4327,AkKi00918224,27 Tunis Street,Kintampo,Akatsi,well,Install RO filter,Backlog,,
4328,HaRu20539224,32 Gbenga Adeyinka Street,Rural,Hawassa,well,Install RO filter,Backlog,,
4329,HaZa21830224,70 Jomo Kenyatta Avenue,Zanzibar,Hawassa,well,Install RO filter,Backlog,,
4330,SoRu37195224,101 Nelson Mandela Street,Rural,Sokoto,river,Drill well,Backlog,,
4331,AmRu12813224,14 Kilimanjaro Drive,Rural,Amanzi,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
4332,KiRu25851224,47 Kudu Square,Rural,Kilimani,shared_tap,Install 8 taps nearby,Backlog,,
4333,AmRu15292224,186 Mawimbi Maji Street,Rural,Amanzi,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
4334,AkRu03302224,158 Savanna Street,Rural,Akatsi,well,Install RO filter,Backlog,,
4335,HaAm16017224,117 Garang Street,Amina,Hawassa,river,Drill well,Backlog,,
4336,SoKo33479224,94 Mlima Wa Hekima Street,Kofi,Sokoto,shared_tap,Install 7 taps nearby,Backlog,,
4337,SoRu35811224,142 Mombasa Road,Rural,Sokoto,river,Drill well,Backlog,,
4338,HaDj16773224,38 Durban Road,Djenne,Hawassa,river,Drill well,Backlog,,
4339,KiIs23694224,72 Cape Coast Road,Isiqalo,Kilimani,well,Install UV and RO filter,Backlog,,
4340,AkRu08655224,54 Waka Waka Avenue,Rural,Akatsi,well,Install RO filter,Backlog,,
4341,SoRu39602224,191 Angelique Street,Rural,Sokoto,shared_tap,Install 8 taps nearby,Backlog,,
4342,SoIl32968224,156 Cape Verde Street,Ilanga,Sokoto,river,Drill well,Backlog,,
4343,HaRu18838224,11 Khama Avenue,Rural,Hawassa,well,Install UV and RO filter,Backlog,,
4344,AmRu13310224,183 Hurghada Street,Rural,Amanzi,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
4345,AmAm09628224,161 Lumumba Lane,Amina,Amanzi,well,Install UV and RO filter,Backlog,,
4346,KiRu29667224,43 Ziwa La Upendo Street,Rural,Kilimani,well,Install UV and RO filter,Backlog,,
4347,AkRu04859224,137 Giza Street,Rural,Akatsi,shared_tap,Install 6 taps nearby,Backlog,,
4348,KiRu27733224,196 Desmond Tutu Street,Rural,Kilimani,well,Install RO filter,Backlog,,
4349,SoRu35872224,88 Mombasa Road,Rural,Sokoto,well,Install UV and RO filter,Backlog,,
4350,AkLu01802224,186 Lilongwe Street,Lusaka,Akatsi,shared_tap,Install 8 taps nearby,Backlog,,
4351,AmBe11055224,139 Achebe Street,Bello,Amanzi,river,Drill well,Backlog,,
4352,HaRu17004224,114 Twiga Lane,Rural,Hawassa,well,Install UV and RO filter,Backlog,,
4353,AkRu07990224,7 Maji Mema Street,Rural,Akatsi,river,Drill well,Backlog,,
4354,AmRu13104224,87 Cairo Road,Rural,Amanzi,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
4355,KiHa23332224,80 Samora Machel Road,Harare,Kilimani,river,Drill well,Backlog,,
4356,KiIs23930224,17 Farasi Makeba Street,Isiqalo,Kilimani,well,Install UV and RO filter,Backlog,,
4357,SoRu36919224,164 Ellen Johnson Sirleaf Street,Rural,Sokoto,well,Install RO filter,Backlog,,
4358,KiMr24983224,89 Mlima Wa Matumaini Street,Mrembo,Kilimani,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
4359,KiHa23271224,178 Port Said Street,Harare,Kilimani,well,Install RO filter,Backlog,,
4360,SoRu35351224,11 Nile Street,Rural,Sokoto,shared_tap,Install 1 taps nearby,Backlog,,
4361,AmPw12645224,186 Lagos Street,Pwani,Amanzi,shared_tap,Install 2 taps nearby,Backlog,,
4362,AkRu04686224,20 Windhoek Way,Rural,Akatsi,well,Install UV and RO filter,Backlog,,
4363,AkRu06176224,132 Tembo Mandela Road,Rural,Akatsi,well,Install UV and RO filter,Backlog,,
4364,AkRu05699224,85 Ramaphosa Road,Rural,Akatsi,shared_tap,Install 2 taps nearby,Backlog,,
4365,SoIl32601224,75 Pwani Mchangani Road,Ilanga,Sokoto,well,Install UV and RO filter,Backlog,,
4366,HaRu18250224,10 Abuja Avenue,Rural,Hawassa,well,Install RO filter,Backlog,,
